"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"795635778","","","","","2008-04-24 03:07:31 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: SmartBoards vs. Promethean...the research starts and maybe ends here http://tinyurl.com/5ojdpq"
"795604363","795570991","10099802","","","2008-04-24 02:11:32 +0000","web","@dmantz7 sounds good. I'm not sure when I'll teach it again. Earliest would likely be in the fall."
"795590975","","","","","2008-04-24 01:48:08 +0000","web","students now doing a sample of their drama performance in ustream"
"795562647","","","","","2008-04-24 00:55:42 +0000","web","two of my students are presenting their final project to me via ustream"
"795511074","795509427","71123","","","2008-04-23 23:18:52 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@ijohnpederson ""wife also twitters..."" what was he inferring?"
"795506271","","","","","2008-04-23 23:10:28 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","9 year old yelling instructions upstairs to my wife on how to switch inputs on the TV."
"795459835","795451700","5817062","","","2008-04-23 21:50:31 +0000","web","@mrmosesdotorg our IT guys actually did this.  Cool hack...not all that practical."
"795449496","795442688","764365","","","2008-04-23 21:34:27 +0000","web","@dajbelshaw You're the first SmartBoard vote.  Do you have experience with both?"
"795430937","","","","","2008-04-23 21:06:33 +0000","web","So far Promethean 4 SmartBoard 0 Any more opinions?  Please chime in, your voice can determine major budget implications for my division."
"795401398","","","","","2008-04-23 20:22:32 +0000","web","My hometown bought a log cabin style clubhouse for the golf course and moved it in 3 pieces over 25 miles http://tinyurl.com/3uzx9k"
"795381734","","","","","2008-04-23 19:52:15 +0000","web","Twitter Poll: SmartBoard vs. Promethean.  Looking for those particularly with experiences with both products."
"794892743","","","","","2008-04-23 06:00:43 +0000","web","Cant' get Scribe Fire to work http://skitch.com/deanshareski/knp6/firefox What up?"
"794865734","794865339","3567831","","","2008-04-23 04:57:31 +0000","web","@sleslie but also perhaps my mandigo theme....now unable to tweak code in the sidebar2.php seems have to use widgets only."
"794859949","794858127","790852","","","2008-04-23 04:44:09 +0000","web","@kwhobbes Yep...http://flickr.com/photos/shareski/2433280782/in/photostream/"
"794858129","","","","","2008-04-23 04:40:04 +0000","web","so help me understand in WP I can either choose sidebar.php and not use widgets or sidebar2.php and use them? Is this theme related or WP2.5"
"794850605","","","","","2008-04-23 04:23:40 +0000","web","Let me know if Calgary gets another goal. I might watch then."
"794848957","","","","","2008-04-23 04:20:33 +0000","web","@dnorman every guy needs to try that at least once in his marriage. Second thought, he may only get to try it once."
"794844464","794841345","5545092","","","2008-04-23 04:11:57 +0000","web","@robwall New front loading washer=Great Mother's Day gift?  Just throwin' that out there."
"794843250","","","","","2008-04-23 04:09:36 +0000","web","""Did you see Diehard? 'member when he blew up that car?....That was awesome."" Chris Farley"
"794771598","794771043","12294612","","","2008-04-23 02:04:35 +0000","web","@cnansen ""Pleased to meet you Mr. Jobs""  I can picture it now."
"794763279","","","","","2008-04-23 01:51:18 +0000","web","Now this is funny. http://flickr.com/photos/shareski/2435624582/"
"794743626","","","","","2008-04-23 01:20:50 +0000","web","quick, someone say something funny."
"794736705","","","","","2008-04-23 01:09:46 +0000","web","Eating this http://flickr.com/photos/shareski/2432464387/"
"794521521","","","","","2008-04-22 19:01:15 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","home for lunch. I layed on the couch for a few minutes... big mistake."
"794485766","","","","","2008-04-22 18:05:31 +0000","web","@dnorman what are you doing this weekend? ;)"
"794481768","","","","","2008-04-22 17:59:26 +0000","web","Do you have friends like this? http://www.flickr.com/photos/shareski/2433280782/"
"794428683","","","","","2008-04-22 16:39:34 +0000","web","Stupid twitter poll....now I'm starved."
"794346020","","","","","2008-04-22 14:47:41 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","And.....we're back.  PS @glassbeed, you might want to lose that logo."
"794341018","","","","","2008-04-22 14:40:43 +0000","web","How do I know twitter's fixed? quick test poll: Pie or Cake?"
"794095721","","","","","2008-04-22 05:54:54 +0000","web","playing around with widgets on my blog. Also used the siderbar.php not sure this works that well."
"794086423","","","","","2008-04-22 05:29:18 +0000","web","The Red Sox win the World Series!  (with the way twitter's working lately, you have no idea when I wrote this....shoot I gave it away)"
"794079760","794071991","10605462","","","2008-04-22 05:11:50 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@petrock abortion, evolution seems to be a theme here."
"794049499","","","","","2008-04-22 03:57:35 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","I sent out a ""name that tune"" Saturday night and are getting responses today. Sorry, folks the context expired."
"794036924","794036917","8069202","","","2008-04-22 03:30:07 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@JackieB Did that just come through now? I send it on Saturday night!"
"794033239","","","","","2008-04-22 03:22:10 +0000","web","Do you have friends like this? http://flickr.com/photos/shareski/2433280782/in/photostream/"
"794022871","794020035","5936222","","","2008-04-22 03:01:21 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@donnadesroches Awesome. Good work on the committee. Any thoughts about a bloggercon deal? Timing could be tough. Wednesday evening?"
"794016736","","","","","2008-04-22 02:49:41 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","I can now see @robwall and @courosa and @LParisi....that sounds like the end of Romper Room."
"794010902","794010438","5936222","","","2008-04-22 02:37:31 +0000","web","@donnadesroches do you know if we'll have wifi access at Tlt? Free?  Seems kind of important."
"793974634","","","","","2008-04-22 01:23:06 +0000","web","Is twitter coming back to life? I don't think fully."
"793969479","793961883","8431872","","","2008-04-22 01:12:56 +0000","web","@ClareLane thoughts and prayers"
"793896834","","","","","2008-04-21 22:38:19 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: Hey Mr. Shareski, look what we got! http://tinyurl.com/3zcdnr"
"793889300","793888987","12162982","","","2008-04-21 22:22:20 +0000","web","@schwier wish I could bring my 76 year old father to demo geocaching...he's addicted"
"793886499","793882013","3128251","","","2008-04-21 22:17:01 +0000","web","@speters It is but not as icky as those west of here. Very icky...see @dnorman's  whack of snow filled pics from the last few days."
"793878707","","","","","2008-04-21 22:01:59 +0000","web","Considering this one for my photo of the day. http://flickr.com/photos/shareski/2431582167/
But the day's not over yet."
"793877815","793874838","1467511","","","2008-04-21 22:00:13 +0000","web","@briangrenier a fishing podcast....Wow!"
"793869756","793860171","3128251","","","2008-04-21 21:44:42 +0000","web","@speters basically just a bunch of TMI's....sprinkled in with the odd dose of learning...actually it's all learning to some degree."
"793859927","793858295","12162982","","","2008-04-21 21:25:34 +0000","web","@schwier Who and the why of the workshop? I'm curious"
"793859434","","","","","2008-04-21 21:24:38 +0000","web","14 new followers. Someone in KS is giving a workshop. Do they know I'll be talking about my dogs, wallpaper, golf and other nonschool stuff?"
"793798154","","","","","2008-04-21 19:33:41 +0000","web","having a skype chat with Matthew...a grade one student in @kathycassidy's class. I told him I'll come over. He says, ""see you too moro."""
"793787308","793739394","14070562","","","2008-04-21 19:14:27 +0000","web","@kathycassidy I think so...it's in my replies anyway."
